"","id","Linf","length_type","K","t0","sex","temp","Lm","omega","country","locality","questionable","captive","spp","genus","family","ScientificName","class","order","mean_tmax","med_tmax","max_tmax","mean_lmax","med_lmax","max_lmax"
"1",2,39.1,"TL",0.2,-0.76,.,.,.,2.49,"Burkina Faso","Tapoa reservoir","No","No","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"2",2,13.5,"SL",9.22,.,.,.,27.6,3.23,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"3",2,52,"TL",0.3,.,.,.,.,2.91,"Nigeria","Lake Kainji","No","No","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"4",2,12.9,"SL",5.48,.,.,.,.,2.96,"Thailand","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"5",2,12.4,"SL",7.16,.,.,.,27.6,3.04,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"6",2,14.6,"SL",2.39,.,.,.,.,2.71,"Burkina Faso","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"7",2,22.8,"SL",0.44,.,"F",.,.,2.36,"Madagascar","Lake Alaotra","No","No","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"8",2,22.8,"SL",4.18,.,"M",.,.,3.34,"USA","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"9",2,39,"SL",0.5,.,.,.,.,2.88,"Uganda","Lake Albert","No","No","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"10",2,23.4,"SL",3.69,.,"M",.,.,3.31,"Cote d'Ivoire","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"11",2,10.3,"SL",19.64,.,.,.,.,3.32,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"12",2,23.6,"SL",6.88,.,.,.,27.6,3.58,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"13",2,22.8,"SL",8.03,.,"M",.,.,3.62,"USA","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"14",2,13.2,"SL",13.21,.,"M",.,.,3.36,"Belgium","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"15",2,13.3,"SL",7.63,.,.,.,.,3.13,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"16",2,11.1,"SL",13,.,.,.,.,3.2,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"17",2,61.3,"TL",0.35,.,.,.,.,3.12,"Kenya","Nyanza Gulf, Lake Victoria","No","No","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"18",2,42.8,"SL",0.38,-0.36,"M",.,.,2.85,"Egypt","High Dam Lake","No","No","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"19",2,14.2,"SL",7.29,.,.,.,.,3.17,"USA","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"20",2,22.3,"SL",0.88,.,.,.,.,2.64,"Burkina Faso","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"21",2,12.9,"SL",13.93,.,.,.,.,3.37,"Philippines","Sampaloc Lake, cages","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"22",2,22.2,"SL",4.27,.,"M",.,.,3.32,"Belgium","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"23",2,12,"SL",9.87,.,.,.,.,3.15,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"24",2,55.6,"TL",0.39,.,.,.,27,3.08,"Bangladesh","Kaptai Lake","No","No","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"25",2,23.1,"SL",2.54,.,"M",.,.,3.13,"Belgium","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"26",2,17.3,"SL",3,.,"M",.,.,2.95,"Central Afr. Rp","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"27",2,23.5,"TL",1.38,.,.,.,20.6,2.88,"Zambia","experimental ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"28",2,13.7,"SL",4.75,.,.,.,.,2.95,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"29",2,40.8,"SL",0.72,.,"F",.,.,3.08,"Belgium","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"30",2,10.7,"SL",7.26,.,.,.,.,2.92,"Thailand","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"31",2,23.3,"SL",5.42,.,"M",.,.,3.47,"Belgium","tanks","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
"32",2,15.8,"SL",8.89,.,.,.,.,3.35,"Thailand","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",.,.,.,.,.,.
